City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
185,vao,14,NC,1603303115,83,-22.67,167.48,22.82,6.09
187,vostok,100,RU,1603302845,97,46.49,135.88,4.95,2.6
188,hirara,100,JP,1603303116,91,24.8,125.28,25.51,7.37
189,cherskiy,80,RU,1603303116,96,68.75,161.3,-8.89,2.26
190,sorland,75,NO,1603303117,60,67.67,12.69,5,8.7
192,karratha,45,AU,1603303117,66,-20.74,116.85,19.32,5.82
193,ladario,75,BR,1603303118,78,-19,-57.6,25,1
194,marsh harbour,100,BS,1603303118,76,26.54,-77.06,27.09,9.35
195,shingu,74,JP,1603303118,87,33.73,135.98,17.89,5.35
196,bubaque,79,GW,1603303119,79,11.28,-15.83,28.04,4.66
197,bangaon,40,IN,1603303119,94,23.07,88.82,26,1.5
198,gravdal,75,NO,1603302820,55,68.12,13.5,4,5.1
199,ilulissat,75,GL,1603303120,59,69.22,-51.1,1,4.1
200,nemuro,100,JP,1603302987,73,43.32,145.57,12.95,10.01
202,ballina,40,AU,1603303121,93,-28.87,153.57,15.56,1.78
204,oktyabrskiy,59,RU,1603303122,92,54.48,53.47,-1.03,4.41
205,mamburao,100,PH,1603303122,90,13.25,120.67,24.27,3.12
206,hamilton,90,US,1603303122,77,39.18,-84.53,21.11,3.6
207,kuala terengganu,40,MY,1603303123,83,5.33,103.14,26,2.1
209,dikson,100,RU,1603303123,96,73.51,80.55,-4.88,4.64
210,torbay,75,CA,1603302860,76,47.67,-52.73,14.44,5.7
211,touros,75,BR,1603303124,83,-5.2,-35.46,26,6.7
212,kargasok,98,RU,1603303125,94,59.06,80.86,4.11,3.98
213,carnarvon,0,AU,1603302956,68,-24.87,113.63,19,9.8
214,filingue,0,NE,1603303125,12,14.35,3.32,35.9,1.79
215,fukue,100,JP,1603303126,95,32.69,128.84,21.11,4.9
216,srivardhan,16,IN,1603303126,85,18.03,73.02,26.45,1.63
217,qobustan,53,AZ,1603303126,71,40.08,49.41,14,1.84
218,marrakesh,75,MA,1603303127,77,31.63,-8.01,19,1.5
219,severo-kurilsk,66,RU,1603302854,73,50.68,156.12,5.03,8.59
220,wajid,75,SO,1603303127,50,3.81,43.25,29.38,4.36
221,lavrentiya,0,RU,1603303128,85,65.58,-171,2.11,2.28
222,fort nelson,75,CA,1603303128,67,58.81,-122.7,-6,4.1
223,smolenka,15,RU,1603303129,63,52.14,113.5,-2,3
224,puerto del rosario,20,ES,1603303122,73,28.5,-13.86,23,4.1
225,kapaa,20,US,1603303092,88,22.08,-159.32,22,2.6
226,kavieng,100,PG,1603303130,75,-2.57,150.8,27.18,4.51
227,dudinka,100,RU,1603303130,85,69.41,86.18,-11,6
228,hithadhoo,26,MV,1603302972,75,-0.6,73.08,28.31,6.58
229,saint george,1,US,1603302888,19,37.1,-113.58,16,1.5
230,kodiak,1,US,1603303131,64,57.79,-152.41,4,5.1
231,mana,1,GF,1603303131,62,5.66,-53.78,30.98,5.55
232,atar,89,MR,1603303132,17,20.52,-13.05,35.05,3.3
234,balakhninskiy,100,RU,1603303132,94,58.01,114.28,-6.21,1.81
236,port hardy,40,CA,1603303133,87,50.7,-127.42,7,2.1
237,medeiros neto,72,BR,1603303051,68,-17.37,-40.22,27.91,3.91
238,kanker,100,IN,1603303134,80,20.27,81.49,21.34,0.58
239,tura,6,IN,1603303134,90,25.52,90.22,22.03,1.16
240,tarija,16,BO,1603302879,47,-21.54,-64.73,23.43,4.9
241,presidente medici,82,BR,1603303135,33,-11.18,-61.9,37.21,0.77
242,gwadar,3,PK,1603303135,29,25.12,62.33,27.09,5.05
243,cockburn town,75,TC,1603302951,74,21.46,-71.14,27,5.1
244,disraeli,100,CA,1603302979,97,45.9,-71.35,11.67,0.45
246,salalah,40,OM,1603303137,88,17.02,54.09,28,1.5
247,algiers,40,DZ,1603302921,22,36.75,3.04,27,3.6
249,vytegra,84,RU,1603303138,95,61.01,36.45,-0.24,1.15
250,prince rupert,90,CA,1603303138,100,54.32,-130.32,4,1.5
251,verkhnevilyuysk,100,RU,1603303138,97,63.45,120.32,-8.4,1.54
252,camacha,20,PT,1603303139,56,33.08,-16.33,20,8.2
253,kruisfontein,0,ZA,1603303139,65,-34,24.73,16.67,0.89
254,mercedes,39,AR,1603303140,83,-34.65,-59.43,16.67,3.58
255,waipawa,2,NZ,1603303140,81,-41.41,175.52,12,5.1
256,grindavik,75,IS,1603303140,75,63.84,-22.43,5,9.3
257,miles city,90,US,1603303141,86,46.41,-105.84,1,2.1
258,haines junction,85,CA,1603303141,86,60.75,-137.51,-5.41,1.17
259,nikolskoye,90,RU,1603303142,86,59.7,30.79,3,4
260,serenje,34,ZM,1603303142,32,-13.23,30.24,23.59,2.93
261,pecos,1,US,1603303142,37,31.42,-103.49,28,3.1
262,shahrud,2,IR,1603303143,65,36.42,54.98,13.21,5.27
264,okha,100,RU,1603303143,91,53.57,142.95,7.33,5.64
265,chilca,20,PE,1603303144,68,-12.52,-76.74,20.56,6.2
266,tinskoy,90,RU,1603303144,83,56.15,96.92,2.46,2.2
267,chuy,55,UY,1603303145,65,-33.7,-53.46,16.9,6.73
268,bethel,90,US,1603302944,88,41.37,-73.41,18.33,4.6
269,constitucion,0,CL,1603303145,61,-35.33,-72.42,15.47,5.11
270,yerbogachen,76,RU,1603303146,97,61.28,108.01,-7.6,1.72
271,moroto,59,UG,1603303146,65,2.53,34.67,22.44,1.16
272,makakilo city,90,US,1603303147,88,21.35,-158.09,25,1.12
273,mayo,90,US,1603303147,94,38.89,-76.51,24.44,3.6
274,mar del plata,0,AR,1603303147,62,-38,-57.56,13,8.2
275,iberia,20,US,1603303148,66,29.95,-91.75,29.44,5.1
276,atasu,78,KZ,1603303148,50,48.68,71.64,9.96,6.25
277,sistranda,75,NO,1603302943,100,63.73,8.83,3,3.1
278,abu kamal,0,SY,1603303149,23,34.45,40.92,24.64,3.18
280,coquimbo,20,CL,1603303150,63,-29.95,-71.34,17,5.7
281,arlit,0,NE,1603303150,9,18.74,7.39,35.11,2.85
282,finnsnes,40,NO,1603303150,63,69.23,17.98,-1,10.8
283,thunder bay,90,CA,1603302936,100,48.4,-89.32,2.78,3.1
284,rocha,23,UY,1603303151,60,-34.48,-54.33,16.77,6.9
285,coahuayana,40,MX,1603303151,78,18.73,-103.68,27,1.97
286,avera,1,US,1603302981,61,33.19,-82.53,28,5.1
287,fortuna,90,US,1603303152,93,40.6,-124.16,12.22,3.1
288,stilfontein,70,ZA,1603303153,28,-26.84,26.77,25.22,0.44
289,nsoko,71,SZ,1603303153,78,-27.03,31.95,18.21,1.94
290,qostanay,56,KZ,1603302913,92,53.17,63.58,-3,3
291,ende,8,ID,1603303154,80,-8.84,121.66,25.21,0.19
292,ponta do sol,40,PT,1603303154,63,32.67,-17.1,19,7.2
293,bilma,0,NE,1603303154,13,18.69,12.92,29.65,3.32
294,poum,0,NC,1603303155,77,-20.23,164.02,23.56,3.39
295,santa rosa,75,PH,1603303155,88,14.31,121.11,27,2.1
296,kabinda,64,CD,1603303155,86,-6.13,24.48,22.22,0.75
297,la asuncion,89,VE,1603302932,71,11.03,-63.86,29.72,7.55
298,kloulklubed,90,PW,1603303156,88,7.04,134.26,27,2.1
300,lauterbach,40,DE,1603303157,55,50.63,9.4,16.67,2.68
301,anito,100,PH,1603303157,89,12.45,125.29,25.52,2.46
302,luderitz,0,NA,1603303158,39,-26.65,15.16,21.29,5.24
303,nurota,73,UZ,1603303158,18,40.56,65.69,15,4.1
304,kahului,1,US,1603303158,73,20.89,-156.47,24,1.5
305,havre-saint-pierre,90,CA,1603303159,60,50.23,-63.6,5,3.6
306,kalavai,100,IN,1603303159,86,12.77,79.42,24.87,2.8
307,yulara,0,AU,1603303159,36,-25.24,130.99,26,3.1
308,russkaya polyana,100,UA,1603303160,69,49.42,31.92,10.23,3.92
309,ouahigouya,8,BF,1603303160,20,13.58,-2.42,33.93,1.77
310,honningsvag,75,NO,1603303161,86,70.98,25.97,1,3.1
311,victoria,100,HK,1603303119,65,22.29,114.16,23.89,0.45
312,cairns,40,AU,1603303161,78,-16.92,145.77,23,3.6
